エリア,対象分類,2月1日,2月2日,2月3日,2月4日,2月5日,2月6日,2月7日,2月8日,2月9日,2月10日,2月11日,2月12日,2月13日,2月14日,2月15日,2月16日,2月17日,2月18日,2月19日,2月20日,2月21日,2月22日,2月23日,2月24日,2月25日,2月26日,2月27日,2月28日,2月29日,3月1日,3月2日,3月3日,3月4日,3月5日,3月6日,3月7日,3月8日,3月9日,3月10日,3月11日,3月12日,3月13日,3月14日,3月15日,3月16日,3月17日,3月18日,3月19日,3月20日,3月21日,3月22日,3月23日,3月24日,3月25日,3月26日,3月27日,3月28日,3月29日,3月30日,3月31日,4月1日,4月2日,4月3日,4月4日,4月5日,4月6日,4月7日,4月8日
墨田区,住人,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000,262000
墨田区,来訪者,143000,118000,216000,218000,220000,219000,221000,140000,117000,209000,123000,217000,220000,224000,143000,107000,216000,216000,215000,216000,219000,135000,116000,114000,213000,211000,210000,210000,124000,98700,195000,198000,191000,195000,197000,117000,90000,196000,194000,195000,198000,200000,112000,101000,199000,201000,203000,206000,124000,128000,108000,201000,204000,204000,202000,192000,98100,69600,186000,184000,175000,177000,178000,95900,71700,173000,166000,150000
江東区,全体,702000,655000,872000,876000,877000,881000,880000,698000,652000,849000,671000,877000,882000,884000,702000,645000,869000,871000,866000,874000,875000,694000,653000,657000,868000,870000,865000,863000,676000,628000,845000,846000,834000,842000,843000,669000,620000,842000,841000,836000,843000,842000,663000,632000,847000,849000,850000,851000,667000,679000,638000,845000,849000,844000,847000,827000,643000,592800,821000,821000,806000,809000,808000,639000,596500,802000,789000,758000
江東区,住人,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000,501000
江東区,来訪者,202000,155000,372000,376000,377000,381000,380000,198000,152000,349000,171000,377000,382000,384000,202000,145000,369000,371000,366000,374000,375000,194000,153000,157000,368000,370000,365000,363000,176000,127000,344000,345000,333000,341000,342000,168000,119000,341000,340000,335000,342000,341000,162000,131000,346000,348000,349000,350000,166000,178000,137000,344000,348000,343000,346000,326000,142000,91800,320000,320000,305000,308000,307000,138000,95500,301000,288000,257000
品川区,全体,565000,525000,757000,763000,758000,763000,763000,560000,522000,721000,540000,756000,761000,767000,565000,517000,753000,757000,753000,757000,758000,556000,524000,531000,753000,753000,746000,745000,543000,504000,727000,725000,718000,721000,720000,534000,495000,724000,721000,716000,720000,719000,530000,509000,730000,728000,728000,732000,540000,539000,512000,729000,730000,730000,727000,703000,512000,473200,695000,694000,681000,677000,675000,506000,474800,667000,652000,619000
品川区,住人,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000,380000
品川区,来訪者,186000,146000,378000,384000,379000,384000,384000,181000,143000,342000,161000,377000,382000,388000,186000,138000,374000,378000,374000,378000,379000,177000,145000,152000,374000,374000,367000,366000,164000,124000,347000,345000,338000,341000,340000,154000,115000,344000,341000,336000,340000,339000,150000,129000,350000,348000,348000,352000,160000,159000,132000,349000,350000,350000,347000,323000,132000,93200,315000,314000,301000,297000,295000,126000,94800,287000,272000,239000
目黒区,全体,435000,402000,498000,504000,501000,507000,511000,433000,402000,494000,410000,502000,507000,512000,431000,393000,499000,501000,500000,503000,509000,427000,400000,400000,498000,497000,495000,498000,413000,381000,480000,483000,476000,481000,485000,404000,372000,481000,480000,481000,484000,489000,400000,386000,487000,487000,484000,493000,411000,414000,390000,486000,488000,488000,490000,478000,380000,347700,468000,465000,452000,457000,458000,375000,349400,451000,441000,425000
目黒区,住人,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,269000,269000,269000,269000,269000,269000,269000,269000
